,2025-03-31,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-99000.0,-54000.0
Net Income From Continuing Operation Net Minority Interest,-98000.0,-54000.0
EBITDA,-99000.0,-54000.0
EBIT,-99000.0,-54000.0
Normalized Income,-98000.0,-54000.0
Net Income From Continuing And Discontinued Operation,-98000.0,-54000.0
Total Expenses,99000.0,54000.0
Diluted Average Shares,53942887.0,53942887.0
Basic Average Shares,53942887.0,53942887.0
Diluted EPS,-0.001817,-0.001001
Basic EPS,-0.001817,-0.001001
Diluted NI Availto Com Stockholders,-98000.0,-54000.0
Net Income Common Stockholders,-98000.0,-54000.0
Otherunder Preferred Stock Dividend,0.0,0.0
Net Income,-98000.0,-54000.0
Net Income Including Noncontrolling Interests,-98000.0,-54000.0
Net Income Continuous Operations,-98000.0,-54000.0
Tax Provision,0.0,0.0
Pretax Income,-98000.0,-54000.0
Operating Income,-99000.0,-54000.0
Operating Expense,99000.0,54000.0
Other Operating Expenses,42000.0,10000.0
Selling General And Administration,57000.0,44000.0
General And Administrative Expense,57000.0,44000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
