,2025-03-31,2024-03-31,2021-12-31
Tax Effect Of Unusual Items,204591390.0,772072740.0,-288941000.0
Tax Rate For Calcs,0.1293,0.1978,0.2825
Normalized EBITDA,84584200000.0,74100500000.0,65649700000.0
Total Unusual Items,1582300000.0,3903300000.0,-1022800000.0
Total Unusual Items Excluding Goodwill,1582300000.0,3903300000.0,-1022800000.0
Net Income From Continuing Operation Net Minority Interest,41674300000.0,35734000000.0,27803800000.0
Reconciled Depreciation,24783400000.0,16279000000.0,11524900000.0
Reconciled Cost Of Revenue,85633300000.0,75108600000.0,50810800000.0
EBITDA,86166500000.0,78003800000.0,64626900000.0
EBIT,61383100000.0,61724800000.0,53101300000.0
Net Interest Income,22179700000.0,6605200000.0,1879600000.0
Interest Expense,2159400000.0,2763800000.0,1456600000.0
Interest Income,24339100000.0,9369000000.0,3336200000.0
Normalized Income,40296591390.0,32602772740.0,28537659000.0
Net Income From Continuing And Discontinued Operation,41674300000.0,35734000000.0,27803800000.0
Total Expenses,298634500000.0,277491900000.0,234803600000.0
Rent Expense Supplemental,1420900000.0,1180000000.0,1695800000.0
Diluted Average Shares,2457585687.0,2145703372.0,1985960632.0
Basic Average Shares,2451487424.0,1987962505.0,1985645229.0
Diluted EPS,16.96,16.65,14.0
Basic EPS,17.0,17.98,14.0
Diluted NI Availto Com Stockholders,41674300000.0,35734000000.0,27803800000.0
Net Income Common Stockholders,41674300000.0,35734000000.0,27803800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,41674300000.0,35734000000.0,27803800000.0
Minority Interests,-9909800000.0,-11612300000.0,-9306600000.0
Net Income Including Noncontrolling Interests,51584100000.0,47346300000.0,37110400000.0
Net Income Continuous Operations,51584100000.0,47346300000.0,37110400000.0
Tax Provision,7639600000.0,11614700000.0,14534300000.0
Pretax Income,59223700000.0,58961000000.0,51644700000.0
Other Non Operating Income Expenses,406400000.0,507400000.0,6500000.0
Special Income Charges,143200000.0,3272600000.0,-1204500000.0
Other Special Charges,-2216000000.0,-1019700000.0,1204500000.0
Write Off,2072800000.0,0.0,-108700000.0
Restructuring And Mergern Acquisition,0.0,-2252900000.0,1204500000.0
Net Non Operating Interest Income Expense,22179700000.0,6605200000.0,1879600000.0
Total Other Finance Cost,,,70000000.0
Interest Expense Non Operating,2159400000.0,2763800000.0,1456600000.0
Interest Income Non Operating,24339100000.0,9369000000.0,3336200000.0
Operating Income,34989400000.0,47806000000.0,50677200000.0
Operating Expense,213001200000.0,202383300000.0,183992800000.0
Other Operating Expenses,100877600000.0,92561400000.0,85609100000.0
Depreciation And Amortization In Income Statement,24783400000.0,16279000000.0,11525600000.0
Amortization,4575000000.0,627300000.0,165000000.0
Depreciation Income Statement,20208400000.0,15651700000.0,11360600000.0
Selling General And Administration,88708900000.0,84396100000.0,73859300000.0
Selling And Marketing Expense,86742600000.0,82777900000.0,73085200000.0
General And Administrative Expense,1966300000.0,1618200000.0,774100000.0
Rent And Landing Fees,1420900000.0,1180000000.0,1695800000.0
Gross Profit,247990600000.0,250189300000.0,234670000000.0
Cost Of Revenue,85633300000.0,75108600000.0,50810800000.0
Total Revenue,333623900000.0,325297900000.0,285480800000.0
Operating Revenue,333623900000.0,325297900000.0,285480800000.0
