,2025-03-31
Tax Effect Of Unusual Items,11929932.357532
Tax Rate For Calcs,0.278737
Normalized EBITDA,12897000000.0
Total Unusual Items,42800000.0
Total Unusual Items Excluding Goodwill,42800000.0
Net Income From Continuing Operation Net Minority Interest,6345700000.0
Reconciled Depreciation,4023500000.0
Reconciled Cost Of Revenue,11928400000.0
EBITDA,12939800000.0
EBIT,8907000000.0
Net Interest Income,117100000.0
Interest Expense,66400000.0
Interest Income,559300000.0
Normalized Income,6314829932.357532
Net Income From Continuing And Discontinued Operation,6345700000.0
Total Expenses,26742300000.0
Rent Expense Supplemental,409100000.0
Diluted Average Shares,2082354646.0
Basic Average Shares,2081171040.0
Diluted EPS,3.05
Basic EPS,3.05
Diluted NI Availto Com Stockholders,6345700000.0
Net Income Common Stockholders,6345700000.0
Otherunder Preferred Stock Dividend,0.0
Net Income,6345700000.0
Minority Interests,-30700000.0
Net Income Including Noncontrolling Interests,6376400000.0
Net Income Continuous Operations,6376400000.0
Tax Provision,2464200000.0
Pretax Income,8840600000.0
Other Non Operating Income Expenses,13700000.0
Special Income Charges,-64500000.0
Other Special Charges,64500000.0
Net Non Operating Interest Income Expense,117100000.0
Total Other Finance Cost,375800000.0
Interest Expense Non Operating,66400000.0
Interest Income Non Operating,559300000.0
Operating Income,8516300000.0
Operating Expense,14813900000.0
Other Operating Expenses,8138600000.0
Depreciation And Amortization In Income Statement,4032800000.0
Amortization,48800000.0
Depreciation Income Statement,3984000000.0
Selling General And Administration,2153800000.0
Selling And Marketing Expense,1497700000.0
General And Administrative Expense,656100000.0
Rent And Landing Fees,409100000.0
Gross Profit,23330200000.0
Cost Of Revenue,11928400000.0
Total Revenue,35258600000.0
Operating Revenue,35258600000.0
