,2025-03-31,2024-03-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,11373720.171344,16037532.166006,0.0,752596908.783493
Tax Rate For Calcs,0.258611,0.250117,0.08063,0.273223
Normalized EBITDA,8355640000.0,7806730000.0,6688540000.0,6068690000.0
Total Unusual Items,43980000.0,64120000.0,0.0,2754520000.0
Total Unusual Items Excluding Goodwill,43980000.0,64120000.0,0.0,2754520000.0
Net Income From Continuing Operation Net Minority Interest,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Reconciled Depreciation,2138300000.0,2009440000.0,1870770000.0,1813670000.0
Reconciled Cost Of Revenue,5725830000.0,9771010000.0,10275090000.0,6870050000.0
EBITDA,8399620000.0,7870850000.0,6688540000.0,8823210000.0
EBIT,6261320000.0,5861410000.0,4817760000.0,7009540000.0
Net Interest Income,420430000.0,565630000.0,-44860000.0,-30540000.0
Interest Expense,126280000.0,72690000.0,44860000.0,30540000.0
Interest Income,546710000.0,638320000.0,,194290000.0
Normalized Income,4515843720.171344,4292777532.166006,4388060000.0,3070256908.783493
Net Income From Continuing And Discontinued Operation,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Total Expenses,19365740000.0,22670270000.0,21138980000.0,17467370000.0
Rent Expense Supplemental,26100000.0,6520000.0,,15220000.0
Diluted Average Shares,85284223.0,85284223.0,85287852.0,85289726.0
Basic Average Shares,85284223.0,85284223.0,85287852.0,85289726.0
Diluted EPS,53.33,50.9,51.45,59.47
Basic EPS,53.33,50.9,51.45,59.47
Diluted NI Availto Com Stockholders,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Net Income Common Stockholders,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Net Income Including Noncontrolling Interests,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Net Income Continuous Operations,4548450000.0,4340860000.0,4388060000.0,5072180000.0
Tax Provision,1586590000.0,1447860000.0,384840000.0,1906820000.0
Pretax Income,6135040000.0,5788720000.0,4772900000.0,6979000000.0
Other Non Operating Income Expenses,71450000.0,61870000.0,822740000.0,546630000.0
Special Income Charges,43980000.0,64120000.0,0.0,2754520000.0
Other Special Charges,-43980000.0,-64120000.0,,-2754520000.0
Write Off,,,,189740000.0
Net Non Operating Interest Income Expense,420430000.0,565630000.0,-44860000.0,-30540000.0
Interest Expense Non Operating,126280000.0,72690000.0,44860000.0,30540000.0
Interest Income Non Operating,546710000.0,638320000.0,,194290000.0
Operating Income,5486480000.0,5013520000.0,3913870000.0,3652210000.0
Operating Expense,13639910000.0,12899260000.0,10863890000.0,10597320000.0
Other Operating Expenses,9432620000.0,8938330000.0,7212610000.0,8281170000.0
Depreciation And Amortization In Income Statement,2138300000.0,2009440000.0,1870780000.0,1813670000.0
Amortization,6090000.0,5640000.0,,3600000.0
Depreciation Income Statement,2132210000.0,2003800000.0,1870780000.0,1813670000.0
Selling General And Administration,1495370000.0,1398710000.0,1242840000.0,1435140000.0
Selling And Marketing Expense,1371210000.0,1268070000.0,1242840000.0,1318260000.0
General And Administrative Expense,124160000.0,130640000.0,,116880000.0
Rent And Landing Fees,26100000.0,6520000.0,,15220000.0
Gross Profit,19126390000.0,17912780000.0,14777760000.0,14249530000.0
Cost Of Revenue,5725830000.0,9771010000.0,10275090000.0,6870050000.0
Total Revenue,24852220000.0,27683790000.0,25052850000.0,21119580000.0
Operating Revenue,24852220000.0,27683790000.0,25052850000.0,21119580000.0
