,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,-329541000.0,0.0,0.0
Tax Rate For Calcs,0.3,0.0,0.0
Normalized EBITDA,4708060000.0,-638520000.0,-1168000000.0
Total Unusual Items,-1098470000.0,-1210660000.0,-1446380000.0
Total Unusual Items Excluding Goodwill,-1098470000.0,-1210660000.0,-1446380000.0
Net Income From Continuing Operation Net Minority Interest,-172810000.0,-3656970000.0,-4156450000.0
Reconciled Depreciation,2738840000.0,953800000.0,1141010000.0
Reconciled Cost Of Revenue,4350340000.0,705090000.0,204110000.0
EBITDA,3609590000.0,-1849180000.0,-2614380000.0
EBIT,870750000.0,-2802980000.0,-3755390000.0
Net Interest Income,-1505130000.0,-875310000.0,-459660000.0
Interest Expense,1541410000.0,853990000.0,401060000.0
Interest Income,158110000.0,19170000.0,15790000.0
Normalized Income,596119000.0,-2446310000.0,-2710070000.0
Net Income From Continuing And Discontinued Operation,-179710000.0,-3911650000.0,-7998300000.0
Total Expenses,12544160000.0,3284440000.0,2545960000.0
Rent Expense Supplemental,153620000.0,26850000.0,10840000.0
Diluted Average Shares,110400306.0,114436021.0,114436021.0
Basic Average Shares,110400306.0,114436021.0,114436021.0
Diluted EPS,-1.63,-34.181982,-69.893203
Basic EPS,-1.63,-34.181982,-69.893203
Diluted NI Availto Com Stockholders,-179710000.0,-3911650000.0,-7998300000.0
Net Income Common Stockholders,-179710000.0,-3911650000.0,-7998300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,-179710000.0,-3911650000.0,-7998300000.0
Net Income Including Noncontrolling Interests,-179710000.0,-3911650000.0,-7998300000.0
Net Income Discontinuous Operations,-6900000.0,-254680000.0,-3841850000.0
Net Income Continuous Operations,-172810000.0,-3656970000.0,-4156450000.0
Tax Provision,-497850000.0,0.0,0.0
Pretax Income,-670660000.0,-3656970000.0,-4156450000.0
Other Non Operating Income Expenses,1380000.0,42250000.0,
Special Income Charges,-1109640000.0,-1218230000.0,-1447530000.0
Other Special Charges,1190000.0,1217500000.0,-9090000.0
Write Off,0.0,730000.0,496310000.0
Impairment Of Capital Assets,,0.0,960310000.0
Restructuring And Mergern Acquisition,1108450000.0,0.0,
Net Non Operating Interest Income Expense,-1505130000.0,-875310000.0,-459660000.0
Total Other Finance Cost,121830000.0,40490000.0,74390000.0
Interest Expense Non Operating,1541410000.0,853990000.0,401060000.0
Interest Income Non Operating,158110000.0,19170000.0,15790000.0
Operating Income,1904370000.0,-1565250000.0,-2158820000.0
Operating Expense,8193820000.0,2579350000.0,2341850000.0
Other Operating Expenses,1866810000.0,756780000.0,583900000.0
Depreciation And Amortization In Income Statement,2738840000.0,762930000.0,656800000.0
Amortization,1735350000.0,,
Depreciation Income Statement,1003490000.0,762930000.0,656800000.0
Research And Development,20490000.0,0.0,
Selling General And Administration,1168750000.0,228670000.0,327620000.0
Selling And Marketing Expense,183200000.0,9020000.0,93330000.0
General And Administrative Expense,985550000.0,219650000.0,234290000.0
Rent And Landing Fees,153620000.0,26850000.0,10840000.0
Gross Profit,10098190000.0,1014100000.0,183030000.0
Cost Of Revenue,4350340000.0,705090000.0,204110000.0
Total Revenue,14448530000.0,1719190000.0,387140000.0
Operating Revenue,14448530000.0,1719190000.0,387140000.0
