,2025-03-31,2024-03-31,2023-03-31,2021-12-31
Tax Effect Of Unusual Items,97175600.0,6819930.0,-1326340.0,91101780.0
Tax Rate For Calcs,0.2564,0.2613,0.2822,0.2646
Normalized EBITDA,6150800000.0,3556500000.0,2515400000.0,3790100000.0
Total Unusual Items,379000000.0,26100000.0,-4700000.0,344300000.0
Total Unusual Items Excluding Goodwill,379000000.0,26100000.0,-4700000.0,344300000.0
Net Income From Continuing Operation Net Minority Interest,3839800000.0,1637800000.0,939000000.0,2034000000.0
Reconciled Depreciation,913500000.0,900100000.0,801600000.0,954600000.0
Reconciled Cost Of Revenue,43226700000.0,37007600000.0,31083600000.0,33697600000.0
EBITDA,6529800000.0,3582600000.0,2510700000.0,4134400000.0
EBIT,5616300000.0,2682500000.0,1709100000.0,3179800000.0
Net Interest Income,-355800000.0,-560200000.0,-535700000.0,-518500000.0
Interest Expense,452400000.0,465500000.0,400900000.0,413900000.0
Interest Income,186200000.0,5900000.0,5700000.0,9400000.0
Normalized Income,3557975600.0,1618519930.0,942373660.0,1780801780.0
Net Income From Continuing And Discontinued Operation,3839800000.0,1637800000.0,939000000.0,2034000000.0
Total Expenses,57100200000.0,48210700000.0,41225700000.0,44911700000.0
Rent Expense Supplemental,148100000.0,41300000.0,36800000.0,65400000.0
Diluted Average Shares,42495711.0,42381675.0,42381675.0,42381675.0
Basic Average Shares,42495711.0,42381675.0,42381675.0,42381675.0
Diluted EPS,90.36,38.64,22.16,47.99
Basic EPS,90.36,38.64,22.16,47.99
Diluted NI Availto Com Stockholders,3839800000.0,1637800000.0,939000000.0,2034000000.0
Net Income Common Stockholders,3839800000.0,1637800000.0,939000000.0,2034000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3839800000.0,1637800000.0,939000000.0,2034000000.0
Net Income Including Noncontrolling Interests,3839800000.0,1637800000.0,939000000.0,2034000000.0
Net Income Continuous Operations,3839800000.0,1637800000.0,939000000.0,2034000000.0
Tax Provision,1324100000.0,579200000.0,369200000.0,731900000.0
Pretax Income,5163900000.0,2217000000.0,1308200000.0,2765900000.0
Other Non Operating Income Expenses,186200000.0,1400000.0,200000.0,414900000.0
Special Income Charges,-6500000.0,-3800000.0,-4700000.0,344300000.0
Other Special Charges,6500000.0,3800000.0,4700000.0,-344300000.0
Net Non Operating Interest Income Expense,-355800000.0,-560200000.0,-535700000.0,-518500000.0
Total Other Finance Cost,89600000.0,100600000.0,140500000.0,114000000.0
Interest Expense Non Operating,452400000.0,465500000.0,400900000.0,413900000.0
Interest Income Non Operating,186200000.0,5900000.0,5700000.0,9400000.0
Operating Income,5140700000.0,2749700000.0,2119300000.0,2695000000.0
Operating Expense,13873500000.0,11203100000.0,10142100000.0,11214100000.0
Other Operating Expenses,6143700000.0,4826600000.0,4046200000.0,4194900000.0
Depreciation And Amortization In Income Statement,913500000.0,900100000.0,801600000.0,954600000.0
Amortization,4800000.0,4800000.0,5700000.0,19900000.0
Depreciation Income Statement,908700000.0,895300000.0,795900000.0,934700000.0
Selling General And Administration,2814800000.0,1934100000.0,2410200000.0,2351700000.0
Selling And Marketing Expense,1478300000.0,996000000.0,1638000000.0,1494100000.0
General And Administrative Expense,1336500000.0,938100000.0,772200000.0,857600000.0
Rent And Landing Fees,148100000.0,41300000.0,36800000.0,65400000.0
Gross Profit,19014200000.0,13952800000.0,12261400000.0,13909100000.0
Cost Of Revenue,43226700000.0,37007600000.0,31083600000.0,33697600000.0
Total Revenue,62240900000.0,50960400000.0,43345000000.0,47606700000.0
Operating Revenue,62240900000.0,50960400000.0,43345000000.0,47606700000.0
