,2025-09-30,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Tax Effect Of Unusual Items,14295324.072045,726513248.320098,161715900.0,-204710800.0,
Tax Rate For Calcs,0.259915,0.250954,0.2571,0.2588,
Normalized EBITDA,25865000000.0,27024000000.0,29199000000.0,21437000000.0,
Total Unusual Items,55000000.0,2895000000.0,629000000.0,-791000000.0,
Total Unusual Items Excluding Goodwill,55000000.0,2895000000.0,629000000.0,-791000000.0,
Net Income From Continuing Operation Net Minority Interest,16871000000.0,19604000000.0,19609000000.0,12618000000.0,
Reconciled Depreciation,2950000000.0,3296000000.0,3203000000.0,3171000000.0,
Reconciled Cost Of Revenue,120694000000.0,105906000000.0,133826000000.0,109263000000.0,
EBITDA,25920000000.0,29919000000.0,29828000000.0,20646000000.0,
EBIT,22970000000.0,26623000000.0,26625000000.0,17475000000.0,
Net Interest Income,-151000000.0,-431000000.0,3842000000.0,1749000000.0,
Interest Expense,151000000.0,431000000.0,228000000.0,358000000.0,
Interest Income,,6322000000.0,4466000000.0,2424000000.0,2063000000.0
Normalized Income,16830295324.072044,17435513248.3201,19141715900.0,13204289200.0,
Net Income From Continuing And Discontinued Operation,21042000000.0,27166000000.0,19609000000.0,15429000000.0,
Total Expenses,156375000000.0,133599000000.0,171504000000.0,142038000000.0,
Rent Expense Supplemental,,372000000.0,401000000.0,263000000.0,236000000.0
Diluted Average Shares,355799797.0,355902004.0,356120255.0,356120255.0,
Basic Average Shares,355799797.0,355902004.0,356120255.0,356120255.0,
Diluted EPS,59.14,76.33,55.062861,43.33,
Basic EPS,59.14,76.33,55.062861,43.33,
Diluted NI Availto Com Stockholders,21042000000.0,27166000000.0,19609000000.0,15429000000.0,
Net Income Common Stockholders,21042000000.0,27166000000.0,19609000000.0,15429000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,21042000000.0,27166000000.0,19609000000.0,15429000000.0,
Minority Interests,-17000000.0,-15000000.0,-10000000.0,-1000000.0,
Net Income Including Noncontrolling Interests,21059000000.0,27181000000.0,19619000000.0,15430000000.0,
Net Income Extraordinary,,,,-889000000.0,-520000000.0
Net Income Discontinuous Operations,4171000000.0,7562000000.0,0.0,2811000000.0,
Net Income Continuous Operations,16888000000.0,19619000000.0,19619000000.0,12619000000.0,
Tax Provision,5931000000.0,6573000000.0,6778000000.0,4498000000.0,
Pretax Income,22819000000.0,26192000000.0,26397000000.0,17117000000.0,
Other Non Operating Income Expenses,5648000000.0,5870000000.0,531000000.0,764000000.0,
Special Income Charges,55000000.0,2895000000.0,332000000.0,232000000.0,
Other Special Charges,-55000000.0,-2895000000.0,-275000000.0,-232000000.0,
Write Off,,-108000000.0,-57000000.0,,
Net Non Operating Interest Income Expense,-151000000.0,-431000000.0,3842000000.0,1749000000.0,
Total Other Finance Cost,,398000000.0,396000000.0,317000000.0,285000000.0
Interest Expense Non Operating,151000000.0,431000000.0,228000000.0,358000000.0,
Interest Income Non Operating,,6322000000.0,4466000000.0,2424000000.0,2063000000.0
Operating Income,17267000000.0,17858000000.0,21288000000.0,16700000000.0,
Operating Expense,35681000000.0,27693000000.0,37678000000.0,32775000000.0,
Other Operating Expenses,15954000000.0,11250000000.0,10414000000.0,8685000000.0,
Depreciation And Amortization In Income Statement,2803000000.0,2464000000.0,3203000000.0,3171000000.0,
Amortization,,656000000.0,635000000.0,,
Depreciation Income Statement,2803000000.0,2464000000.0,2568000000.0,3171000000.0,
Research And Development,,694000000.0,549000000.0,211000000.0,146000000.0
Selling General And Administration,,5927000000.0,5398000000.0,4671000000.0,4208000000.0
Selling And Marketing Expense,,3064000000.0,2892000000.0,2370000000.0,2000000000.0
General And Administrative Expense,,2863000000.0,2506000000.0,2301000000.0,2208000000.0
Rent And Landing Fees,,372000000.0,401000000.0,263000000.0,236000000.0
Gross Profit,52948000000.0,45551000000.0,58966000000.0,49475000000.0,
Cost Of Revenue,120694000000.0,105906000000.0,133826000000.0,109263000000.0,
Total Revenue,173642000000.0,151457000000.0,192792000000.0,158738000000.0,
Operating Revenue,173642000000.0,151457000000.0,192792000000.0,158738000000.0,
